year,month_finished,tournament,country,quarter,semi,final,won
2018,January,ELEAGUE Major,Switzerland,0,0,0,0
2018,September,FACEIT Major,Switzerland,0,0,0,0
2019,March,IEM Katowice,Switzerland,0,0,0,0
2019,September,StarLadder Major Berlin,Switzerland,0,0,0,0
2021,November,PGL Major Stockholm,Switzerland,0,0,0,0
2022,May,PGL Major Antwerp,Switzerland,0,0,0,0
2022,November,IEM Rio Major,Switzerland,0,0,0,0
2023,May,BLAST.tv Paris Major,Switzerland,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Switzerland,0,0,0,0
2024,December,Perfect World Shanghai Major,Switzerland,0,0,0,0
2025,June,BLAST.tv Austin Major,Switzerland,0,0,0,0
2013,November,DreamHack Winter,Latvia,0,0,0,0
2014,March,EMS One Katowice,Latvia,0,0,0,0
2014,August,ESL One Cologne,Latvia,0,0,0,0
2014,November,DreamHack Winter,Latvia,0,0,0,0
2015,March,ESL One Katowice,Latvia,0,0,0,0
2015,August,ESL One Cologne,Latvia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Latvia,0,0,0,0
2016,April,MLG Columbus,Latvia,0,0,0,0
2016,July,ESL One Cologne,Latvia,0,0,0,0
2017,January,ELEAGUE Major,Latvia,0,0,0,0
2017,July,PGL Major Krakow,Latvia,0,0,0,0
2018,January,ELEAGUE Major,Latvia,0,0,0,0
2018,September,FACEIT Major,Latvia,0,0,0,0
2019,March,IEM Katowice,Latvia,0,0,0,0
2019,September,StarLadder Major Berlin,Latvia,0,0,0,0
2021,November,PGL Major Stockholm,Latvia,1,0,0,0
2022,May,PGL Major Antwerp,Latvia,1,1,1,1
2022,November,IEM Rio Major,Latvia,0,0,0,0
2023,May,BLAST.tv Paris Major,Latvia,2,0,0,0
2024,March,PGL CS2 Major Copenhagen,Latvia,1,1,1,0
2024,December,Perfect World Shanghai Major,Latvia,2,1,1,0
2025,June,BLAST.tv Austin Major,Latvia,1,0,0,0
2013,November,DreamHack Winter,Israel,0,0,0,0
2014,March,EMS One Katowice,Israel,0,0,0,0
2014,August,ESL One Cologne,Israel,0,0,0,0
2014,November,DreamHack Winter,Israel,0,0,0,0
2015,March,ESL One Katowice,Israel,0,0,0,0
2015,August,ESL One Cologne,Israel,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Israel,0,0,0,0
2016,April,MLG Columbus,Israel,0,0,0,0
2016,July,ESL One Cologne,Israel,0,0,0,0
2017,January,ELEAGUE Major,Israel,0,0,0,0
2017,July,PGL Major Krakow,Israel,0,0,0,0
2018,January,ELEAGUE Major,Israel,0,0,0,0
2018,September,FACEIT Major,Israel,0,0,0,0
2019,March,IEM Katowice,Israel,0,0,0,0
2019,September,StarLadder Major Berlin,Israel,0,0,0,0
2021,November,PGL Major Stockholm,Israel,0,0,0,0
2022,May,PGL Major Antwerp,Israel,1,1,0,0
2022,November,IEM Rio Major,Israel,1,1,0,0
2023,May,BLAST.tv Paris Major,Israel,1,1,1,1
2024,March,PGL CS2 Major Copenhagen,Israel,3,2,0,0
2024,December,Perfect World Shanghai Major,Israel,4,1,0,0
2025,June,BLAST.tv Austin Major,Israel,3,3,1,1
2013,November,DreamHack Winter,Serbia,0,0,0,0
2014,March,EMS One Katowice,Serbia,0,0,0,0
